Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
0	-53.13933	-96.38884	43.24951	0.00673804	0.0610605	0.00398906	0.00913762	0.0313078	0.018452	0.0227164	0.0197737	0.00199878	0.00226345	0.00424913	0.0292523	0.0115859	0.0876213	0.0105768	0.0134529	0.00151554	0.0516201	0.0131197	0.0244089	0.021758	0.0239267	0.00544554	0.00634339	0.000972458	0.0176003	0.01675	0.0578253	0.0950354	0.00827573	0.0742708	0.0286029	0.0376114	0.0113677	0.0408065	0.415055	0.177688	0.383438	0.0238185	1.398047	0.166414	0.396502	0.603498	0.833586	0.977567	0.988996	0.996554	1.00346	1.01113	1.02295	0.01640521	0.00773214	0.0700692	0.00457759	0.0104858	0.0359268	0.0211744	0.0260679	0.022691	0.00229367	0.0025974	0.00487603	0.0335681	0.0132952	0.100549	0.0121373	0.0154376	0.00173914	0.0592359	0.0150553	0.0280101	0.024968	0.0274568	0.00624896	0.00727927	0.00111593	0.020197	0.0192212	0.0663566	0.109057	0.00949671	0.0852284	0.0328229	0.0431604	0.0130448	0.0468269	0.871432	1.891303	0.203346	0.41237	0.587629	0.796655
36	-51.95912	-95.53455	43.57543	0.0107105	0.0224588	0.000170816	0.0256047	0.00497964	0.00025106	0.0114054	0.000234977	0.00786443	0.0214058	0.0153039	0.00399644	0.00880129	0.0165359	0.0170414	0.0064469	0.0184538	0.00197479	0.00776975	0.000735602	0.000321077	0.00932486	0.0032012	0.00883968	0.0127416	0.0037903	0.0364538	0.00088184	0.00845731	0.0103556	0.010076	0.00193738	0.00759217	0.0184344	0.00622343	0.233039	0.160462	0.553499	0.0530001	2.192066	0.220778	0.419111	0.580889	0.779222	0.486512	0.703712	0.896169	1.11586	1.42104	2.05545	0.520966	0.0314296	0.0659048	0.000501257	0.0751363	0.0146126	0.000736728	0.0334689	0.000689535	0.023078	0.0628149	0.044909	0.0117274	0.0258271	0.0485243	0.0500076	0.0189183	0.0541521	0.00579496	0.0228001	0.00215861	0.000942193	0.0273636	0.00939384	0.0259398	0.0373899	0.0111225	0.106973	0.00258774	0.0248178	0.0303882	0.0295676	0.00568519	0.022279	0.0540952	0.0182625	0.3407765	0.4622518	0.0431782	0.304942	0.695058	0.956822
72	-50.16102	-92.58179	42.42077	0.00587078	0.0324522	0.00149422	0.00133311	0.00472646	0.000727675	0.00429977	0.0032123	0.0082616	0.00562786	0.00402846	0.00407288	0.00399231	0.00534738	0.00358332	0.00926536	0.0143099	0.000650763	0.00702475	0.000814618	0.00699816	0.0140088	0.00782082	0.00303091	0.0118597	0.00378596	0.0227564	0.0212909	0.00428862	0.00796695	0.00205399	0.00334463	0.0106548	0.0256722	0.0345762	0.0841889	0.497691	0.22764	0.19048	0.4393332	0.0391283	0.299198	0.700802	0.960872	0.412878	0.649584	0.874069	1.14407	1.53945	2.42202	0.639629	0.019491	0.107741	0.00496083	0.00442594	0.0156919	0.00241588	0.0142752	0.0106648	0.0274285	0.0186845	0.0133745	0.013522	0.0132545	0.0177533	0.0118966	0.030761	0.047509	0.00216053	0.0233222	0.00270453	0.0232339	0.0465092	0.0259651	0.0100626	0.0393743	0.0125694	0.0755511	0.0706858	0.0142382	0.0264503	0.00681924	0.0111042	0.0353739	0.0852316	0.114793	0.3012046	3.8788	0.282325	0.440267	0.559732	0.717676
108	-53.13021	-96.85467	43.72445	0.00793679	0.0290531	0.0168119	0.0181435	0.0099185	0.012206	0.0362767	0.0241851	0.0167159	0.0873312	0.0443222	0.0375704	0.0348872	0.0357366	0.0264886	0.0177398	0.00497574	0.0260726	0.0181314	0.0185523	0.0162231	0.00521698	0.0670777	0.0310419	0.00718778	0.00903476	0.0317415	0.0212734	0.0197986	0.0219847	0.0133811	0.0568484	0.103944	0.129797	0.10568	0.542593	0.324346	0.095193	0.0378686	1.213994	0.148897	0.387996	0.612004	0.851103	0.638933	0.803748	0.934112	1.07053	1.24417	1.56511	0.3239033	0.00682273	0.024975	0.014452	0.0155968	0.00852628	0.0104927	0.0311847	0.0207903	0.0143695	0.0750728	0.0381008	0.0322967	0.0299902	0.0307204	0.0227704	0.0152497	0.00427731	0.0224128	0.0155863	0.0159482	0.0139459	0.00448469	0.0576622	0.0266847	0.00617886	0.00776658	0.0272861	0.0182873	0.0170195	0.0188988	0.0115028	0.0488687	0.089354	0.111578	0.0908464	1.163287	0.8773162	0.109232	0.365283	0.634717	0.890768
144	-61.54575	-103.021	41.47526	0.000286091	0.0464128	0.0141793	0.0291653	0.00191674	0.00315449	0.0209314	9.77912e-05	0.0164614	0.0145994	0.0165918	0.0345007	0.0702638	0.0691131	0.0243369	0.0477442	0.00871045	0.0517106	0.00445076	0.0652916	0.0108957	0.00314812	0.0797799	0.00229317	0.0621655	0.0454299	0.0334915	0.0106751	0.00462224	0.00859972	0.0789096	0.021456	0.0259631	0.0787877	0.0684042	0.306793	0.032746	0.376323	0.284139	4.581536	0.298255	0.445241	0.554758	0.701745	0.992657	0.996412	0.998879	1.00112	1.0036	1.0074	0.005329154	0.000266245	0.0431932	0.0131957	0.0271421	0.00178378	0.00293566	0.0194794	9.10074e-05	0.0153195	0.0135867	0.0154409	0.0321074	0.0653896	0.0643188	0.0226487	0.0444322	0.00810621	0.0481235	0.00414201	0.0607623	0.0101399	0.00292973	0.0742456	0.00213409	0.0578531	0.0422785	0.0311682	0.00993456	0.0043016	0.00800316	0.0734357	0.0199676	0.0241621	0.0733223	0.063659	1.07454	1.411283	0.167581	0.397043	0.602957	0.832419
180	-54.83106	-95.48232	40.65127	0.00190299	0.0143785	0.00365572	0.0239927	0.0137046	0.0058202	0.00456388	0.00276711	0.0109109	0.00896314	0.0211911	0.0226039	0.0120431	0.0386652	0.0195028	0.0303283	0.00449236	0.061655	0.0196081	0.0157535	0.0181635	0.000647362	0.0755643	0.000189279	0.0905768	0.0361116	0.0386224	0.00732686	0.0247056	0.0054138	0.0144342	0.0268511	0.0102137	0.0238836	0.00998044	0.478408	0.173537	0.119919	0.228135	1.420359	0.168375	0.39741	0.60259	0.831625	0.545567	0.744149	0.911927	1.09658	1.34382	1.83296	0.4381292	0.00264603	0.0199926	0.00508313	0.0333608	0.0190557	0.00809274	0.00634587	0.00384755	0.0151711	0.0124629	0.0294654	0.0314298	0.0167455	0.0537624	0.0271178	0.0421702	0.00624643	0.0857287	0.0272642	0.0219045	0.0252556	0.000900129	0.105069	0.000263185	0.125943	0.0502117	0.0537028	0.0101877	0.0343521	0.00752765	0.0200702	0.0373354	0.0142017	0.0332092	0.0138774	0.7191879	6.261817	0.325571	0.453419	0.546581	0.67443
216	-56.59253	-101.8877	45.29521	0.00526852	0.0440067	0.022617	0.00590355	0.00118242	0.0114789	0.000931397	0.00276678	0.00379913	0.00610017	0.000456871	0.00322064	0.00546977	0.0200789	0.000375038	0.00348586	0.0028552	0.0139743	0.000189356	0.00252746	0.0161103	0.0124574	0.00547982	5.01675e-05	0.0227793	0.0167563	0.005356	0.0223882	0.00732179	0.0257107	0.00289314	0.00681885	0.00328954	0.00838294	0.00178684	0.100376	0.017606	0.447117	0.434901	0.2320613	0.00704168	0.218191	0.781808	0.992958	0.476161	0.696369	0.893241	1.11952	1.43602	2.10013	0.5365165	0.0167643	0.140029	0.0719671	0.018785	0.00376244	0.0365256	0.00296369	0.00880386	0.0120888	0.0194106	0.00145376	0.010248	0.0174047	0.0638906	0.00119337	0.0110919	0.00908519	0.0444661	0.000602529	0.00804235	0.0512628	0.0396392	0.0174367	0.000159632	0.0724834	0.0533184	0.0170427	0.0712389	0.0232978	0.081811	0.00920592	0.0216975	0.0104673	0.0266744	0.0056857	0.3142693	0.3861934	0.0298442	0.284043	0.715957	0.970156
252	-53.98788	-98.86983	44.88195	0.00635172	0.0378371	0.00909553	0.00864142	0.00408219	0.00847862	0.0031715	0.00360529	0.00746777	0.0325334	0.0031109	0.0126455	0.0369801	0.0523794	6.69811e-05	0.0191671	0.00318842	0.00110038	0.00268566	0.0114814	0.00741989	0.0374682	0.0274428	0.00616706	0.00595644	0.00485477	0.00823653	0.0134492	0.0145043	0.0506833	0.019558	0.0166878	0.0148063	0.0368976	0.0220606	0.177582	0.547571	0.267717	0.00713036	0.6128337	0.0692459	0.334242	0.665759	0.930754	0.346799	0.596616	0.851179	1.17484	1.67612	2.88351	0.7657365	0.0115431	0.0687619	0.0165294	0.0157042	0.00741862	0.0154083	0.00576361	0.00655194	0.0135713	0.0591233	0.00565347	0.0229809	0.0672044	0.0951897	0.000121726	0.0348326	0.00579436	0.00199973	0.00488069	0.0208653	0.0134843	0.0680914	0.0498721	0.0112075	0.0108247	0.00882264	0.0149683	0.0244415	0.0263588	0.0921073	0.035543	0.0303269	0.0269077	0.0670544	0.0400911	0.5502631	0.1710603	0.00201558	0.178028	0.821972	0.997984
288	-48.34633	-93.54066	45.19433	0.00201771	0.0355571	0.00316291	0.00156749	0.000120183	0.00608124	0.000194	0.00374615	0.0348299	0.0761109	0.00766162	0.00211261	0.0252564	0.0135994	0.0142371	0.0135745	0.00266202	0.0211576	0.000417862	0.011014	0.0120875	0.00265688	0.0495359	0.00278945	0.0117228	0.0220092	0.0131896	0.0264115	0.00216247	0.0356647	0.00772789	0.0288683	0.0441179	0.0106061	0.00483996	0.0635816	0.480273	0.298176	0.15797	0.5268645	0.0545506	0.319082	0.680918	0.94545	0.715603	0.849421	0.950359	1.05223	1.17727	1.39742	0.2419607	0.0036721	0.0647116	0.00575629	0.00285273	0.000218726	0.0110674	0.000353067	0.00681774	0.063388	0.138517	0.0139436	0.0038448	0.0459649	0.02475	0.0259105	0.0247047	0.0048447	0.0385054	0.000760481	0.0200448	0.0219984	0.00483534	0.090152	0.0050766	0.0213348	0.0400553	0.0240042	0.0480671	0.00393555	0.0649074	0.0140642	0.0525383	0.0802916	0.0193025	0.0088084	0.5494712	0.6765397	0.0796445	0.343478	0.656522	0.920355
324	-50.7585	-92.34975	41.59125	0.0037359	0.0020439	0.00436671	0.00266331	0.00539753	0.000413956	9.13799e-05	0.00395624	0.000708846	0.0191434	0.00280206	0.00429189	0.0396934	0.0277667	0.0105468	0.00308958	0.00379382	0.00262437	0.000454459	0.00750844	0.0091626	0.00963472	0.0349026	0.00993163	0.0019894	0.00442429	0.0206789	0.0148809	0.000420934	0.00987449	0.00215	0.00598448	0.00100961	0.00406628	0.00140522	0.156015	0.381675	0.212428	0.249882	5.294926	0.311323	0.449204	0.550796	0.688677	0.356251	0.604491	0.854669	1.17004	1.65428	2.80701	0.7462946	0.0135551	0.00741594	0.0158439	0.00966335	0.019584	0.00150197	0.000331557	0.0143546	0.00257193	0.0694585	0.0101668	0.0155724	0.144021	0.100747	0.0382674	0.01121	0.0137652	0.00952207	0.00164893	0.0272431	0.033245	0.034958	0.126638	0.0360353	0.00721821	0.0160528	0.0750299	0.053993	0.00152729	0.0358279	0.00780091	0.0217137	0.00366321	0.0147538	0.00509861	0.2756088	0.4744992	0.0453435	0.307843	0.692157	0.954656
